Instance,Contractor(s),Date Type,Date,Misconduct Type,Disposition Type,Court Type,Enforcement Agency,Contracting Party,Total Penalties
Medicare and Medicaid Overbilling,University of Chicago,Date of Settlement,2/10/2000,Government Contract Fraud,Settlement,Civil,Health and Human Services,Health and Human Services,10900000
Federal Housing Finance Agency Mortgage Lawsuit,General Electric,Date of Complaint,9/2/2011,Securities,Settlement,Civil,FHFA,None,Undisclosed/Unknown
Afinsa - Securities Class Action,"Spectrum Group International, Inc.",Date of Filing,5/9/2006,Securities,Settlement,Civil,Non-Governmental,None,14000000
Defrauding Louisiana's Medicaid Program,"Merck & Co., Inc.",Date of Settlement Announcement,2/7/2012,Antitrust,Settlement,Civil,State/Local,None,5000000
Illegal Marketing of Genotropin,"Pfizer, Inc.",Date of Announcement,4/2/2007,Health,Pleaded Guilty,Criminal,Multiple Agencies,None,34700000
Point Blank Body Armor v. BAE Systems (Tortious Interference),"Armor Holdings, Inc.",Date of Filing,4/7/2008,Ethics,Settlement,Civil,Non-Governmental,Defense - Army,Undisclosed/Unknown
EEOC v. Bechtel Corp (Discrimination on the Basis of National Origin),Bechtel Corporation,Date of Settlement,12/8/2004,Labor,Settlement,Civil,EEOC,None,90000
Violations of Nuclear Safety Requirements,"McDermott, Inc.",Date of Preliminary Notice of Violation,5/16/2005,Labor,Fine,Administrative,Energy,Energy,123750
Bayona Corp. v. BP et al. (April 2010 Gulf of Mexico Oil Spill),BP P.L.C.,Date of Filing,6/25/2010,Environment,Pending,Civil,Non-Governmental,None,0
Bayona Corp. v. BP et al. (April 2010 Gulf of Mexico Oil Spill),Halliburton,Date of Filing,6/25/2010,Environment,Pending,Civil,Non-Governmental,None,0
Frank v. United Airlines (Gender Discrimination),Patriot Team,Date of Settlement Announcement,2/13/2004,Labor,Settlement,Civil,Non-Governmental,None,36500000
Unlawful Debt Collection Practices,General Electric,Date of Settlement,8/7/1998,Consumer Affairs,Settlement,Civil,State/Local,None,3000000
"Hazardous Cutting Tool at Mobile, AL Facility","Austal USA, LLC",Date of Citation,1/20/2016,Labor,Fine,N/A,Labor - OSHA,None,4125
Furlong et al. v. TransCor America,Corrections Corporation of America,Date of Filing,8/13/2003,Human Rights,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Failure to Use Approved Standards for Cargo Unit Load Devices,FedEx Corporation,Date of Penalty Announcement,5/19/2010,Other,Fine,Civil,Transportation,None,1550000
Using Federal Funds for Lobbying,Lockheed Martin,Date of Settlement Announcement,8/21/2015,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Energy,4790042
Giles v. General Electric (Disability Benefits),General Electric,Date of Final Appeal,3/19/2001,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,591947
Tounkara v. KBR (Religious Discrimination),KBR,Date of Filing,7/13/2009,Labor,Pending,Civil,Non-Governmental,None,0
Violations of the Outer Continental Shelf Lands Act,ChevronTexaco Corporation,Date of Penalty Payment,4/10/2007,Environment,Fine,Administrative,Interior,None,15000
FDA Inspection of New York City Facility,"Pfizer, Inc.",Date of FDA Warning Letter,5/26/2010,Health,Investigative Finding,N/A,Health and Human Services,None,0
DOE Enforcement Action (2005),"CH2M Hill Companies, Ltd.",Date of PNOV,3/10/2005,Labor,Fine,Administrative,Energy,Energy,316250
Bridge Medical Stockholder Lawsuit,AmerisourceBergen,Date of Ruling,9/4/2007,Securities,Judgment Against Defendant,Civil,Non-Governmental,None,26900000
U.S. and Montana v. ExxonMobil Pipeline Company (Yellowstone River Oil Spill),Exxon Mobil,Date of Consent Decree,9/21/2016,Environment,Settlement,Civil,Multiple Agencies,None,12000000
Hanford P-Card Fraud,Fluor Corporation,Date of Indictments,4/20/2010,Government Contract Fraud,Pleaded Guilty,Criminal,Energy,Energy,600326
Religious Discrimination,AT&T Inc.,Date of Verdict,10/19/2007,Labor,Judgment Against Defendant,Civil,EEOC,None,756000
Employee Compensation Antitrust Litigation,Exxon Mobil,Date of Filing,11/4/2004,Antitrust,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Violations of the Clean Air Act,General Motors Corp.,Date of Settlement,11/30/1995,Environment,Settlement,Civil,EPA,None,45000000
Wrongful Termination at Edwards Air Force Base,Chugach Alaska Corporation,Date of Filing,5/14/2003,Labor,Settlement,Civil,Non-Governmental,Defense - Air Force,Undisclosed/Unknown
U.S. ex rel. Lankford v. MPRI (False Labor Charges),L-3 Communications,Date of Settlement Announcement,2/12/2014,Government Contract Fraud,Settlement,Civil,Justice,Defense - Army,3200000
Houston Ship Channel Air Pollution,Royal Dutch Shell PLC,Date of Filing,1/7/2008,Environment,Settlement,Civil,Non-Governmental,None,5800000
"Randazzo v. CH2M Hill (Wrongful Termination, Retaliation)","CH2M Hill Companies, Ltd.",Date of Complaint,12/4/2013,Labor,Pending,Civil,Non-Governmental,Energy,0
SEC v. Adams (Violation of Auditor Independence Rules),Deloitte LLP,Date of Order,5/20/2014,Securities,Settlement,Administrative,SEC,None,0
Controlled Substances Act Violations - National Settlement,"Cardinal Health, Inc.",Date of Settlement Announcement,10/2/2008,Health,Settlement,Civil,Justice,None,34000000
Santa Clara Oil Spill,Exxon Mobil,Date of Settlement,9/24/2002,Environment,Settlement,Civil,Multiple Agencies,None,4700000
Scheinberg v. Merck (Fosamax Products Liability),"Merck & Co., Inc.",Date of Verdict,2/5/2013,Health,Judgment Against Defendant,Civil,Non-Governmental,None,285000
Price-Anderson Violations at Hanford Waste Treatment and Immobilization Plant,Bechtel Corporation,Date of PNOV,12/3/2008,Environment,Fine,Administrative,Energy,Energy,385000
False Reimbursement Claims for Massachusetts Environmental Cleanup ,ChevronTexaco Corporation,Date of Settlement Announcement,12/26/2012,Cost/Labor Mischarge,Settlement,Civil,State/Local,None,1700000
Violation of FCC Rules,FedEx Corporation,Date of Forfeiture Order,5/2/2007,Other,Fine,Administrative,FCC,None,4000
"Amertek, et al. v. Canadian Commercial Corp. (Deceit and Breach of Fiduciary Duty)",Government of Canada (CCC),Date of Appeal,7/5/2005,Government Contract Fraud,Judgment Against Defendant,Civil,Non-Governmental,International,5963767
Settlement of Hanford Asbestos Violations,"Bechtel Corporation, CH2M Hill Companies, Ltd., URS Corporation",Date of Settlement Announcement,4/3/2014,Environment,Settlement,Administrative,EPA,Energy,29334
LANL Equal Pay Act Class Action,University of California,Date of Settlement,7/26/2007,Labor,Settlement,Civil,Non-Governmental,Energy,16441253
Do-Not-Call Violation,AT&T Inc.,Date of Consent Decree,7/9/2004,Consumer Affairs,Fine,Administrative,FCC,None,490000
911 Outages,AT&T Inc.,Date of Consent Decree,6/28/2018,Consumer Affairs,Settlement,Administrative,FCC,None,5250000
Explosion at Bacton Gas Terminal,Royal Dutch Shell PLC,Date of Fine Announcement,6/20/2011,Labor,Pleaded Guilty,Criminal,International,None,1996182
World Bank Debarment,ARINC,Date of Debarment Announcement,1/10/2013,Ethics,Suspend/Debar - Company,Administrative,International,None,0
Unauthorized Disclosure of Classified Information at Oak Ridge,UT-Battelle LLC,Date of Settlement Agreement,8/4/2017,Poor Contract Performance,Settlement,Administrative,Energy,Energy,120000
Misleading Mailings,Humana,Date of Announcement,9/21/2009,Consumer Affairs,Pending,Administrative,Health and Human Services,None,0
"Alford, et al. v. Chevron USA, et al. (Plaquemines Parish Property Damage)","BP P.L.C., ChevronTexaco Corporation, Exxon Mobil",Date of Exxon and Chevron Settlement,10/31/2017,Environment,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
City of Richmond v. Chevron (Negligent Operation of Refinery),ChevronTexaco Corporation,Date of Complaint,8/1/2013,Environment,Pending,Civil,State/Local,None,0
"False Claims Arising from Taylor, Bean & Whitaker Audits",Deloitte LLP,Date of Settlement Announcement,2/28/2018,Government Contract Fraud,Settlement,Civil,Justice,Housing and Urban Dev.,149500000
Nationwide Vioxx Settlement,"Merck & Co., Inc.",Date of Settlement,11/9/2007,Health,Settlement,Civil,Non-Governmental,None,4850000000
April 2010 Gulf of Mexico Oil Spill (Fishermen/Shrimpers Lawsuits),BP P.L.C.,Date of Filing,4/28/2010,Environment,Pending,Civil,Non-Governmental,None,0
Improperly Charging for Lodging Expenses On Army Contracts,Northrop Grumman,Date of Settlement Announcement,6/3/2010,Government Contract Fraud,Settlement,Civil,Defense - Army,Defense - Army,700000
Unauthorized Handling and Disposal of Classified Materials,McDermott/Bechtel Group,Date of PNOV,1/28/2016,Poor Contract Performance,Investigative Finding,Administrative,Energy,Energy,0
Minneapolis Bridge Collapse (State Lawsuit),URS Corporation,Date of Settlement,3/19/2010,Poor Contract Performance,Settlement,Civil,State/Local,State/Local,5000000
Failure to Pay Overtime Wages,"Verizon Communications, Inc.",Date of Press Release,2/17/2005,Labor,Fine,N/A,Labor,None,137870
Carter v. UPS (Racial Discrimination),"United Parcel Service, Inc.",Date of Settlement,1/18/1999,Labor,Settlement,Civil,Non-Governmental,None,12100000
Cleanup at Quehanna Wild Area Nuclear Site,Lockheed Martin,Date of Filing,5/7/2009,Environment,Pending,Civil,State/Local,None,0
Cornell University v. HP (Patent Infringement),Hewlett-Packard Company,Date of Filing,12/27/2001,Intellectual Property,Judgment Against Defendant,Civil,Non-Governmental,None,184044048
Firearms Violations - Employee Prosecutions,Blackwater USA,Date of Indictments,4/16/2010,Other,Pleaded Guilty,Criminal,Justice,Multiple Agencies,10000
Timothy's Law Violations,"Health Net, Inc.",Date of Fine Announcement,5/8/2012,Consumer Affairs,Fine,N/A,State/Local,None,260680
Violations of Workplace Injury & Illness Recordkeeping Requirements,United Technologies Corporation,Date of Penalty Proposal,10/27/1999,Labor,Fine,Administrative,Labor - OSHA,None,155000
Fraudulent Reimbursement Claims for Myoview,General Electric,Date of Settlement Announcement,12/29/2011,Government Contract Fraud,Settlement,Civil,Justice,Health and Human Services,30000000
"Rivera v. LLNS et al. (Wrongful Termination, Whistleblower Retaliation)",Lawrence Livermore Nat'l Security,Date of Complaint,1/19/2016,Labor,Pending,Civil,Non-Governmental,Energy,0
Illegal Restriction of Whistleblowing,"Health Net, Inc.",Date of Order,8/16/2016,Labor,Fine,Administrative,SEC,None,340000
Niger Delta Oil Spills - UK Court,Royal Dutch Shell PLC,Date of Complaint,3/23/2012,Environment,Settlement,Civil,Non-Governmental,None,83500000
2011 Nuclear Safety and Radiological Violations at Idaho National Lab,"Battelle Energy Alliance, LLC",Date of PNOV,10/4/2012,Labor,Fine,Administrative,Energy,Energy,412500
Overcharging the Government,McKesson,Date of Settlement,2/16/2006,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - General,3000000
United States ex rel. Woodlee v. SAIC (False Claims and Defective Pricing),SAIC,Date of Settlement,4/28/2005,Defective Pricing,Settlement,Civil,Defense - Air Force,Defense - Air Force,2500000
Brainard v. Pratt & Whitney (Uniformed Services Employment and Reemployment Rights Act Violation),United Technologies Corporation,Date of Settlement,7/7/2005,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Nigeria LNG Contracts Bribery (Nigeria Prosecution),Halliburton,Date of Settlement Announcement,12/16/2010,Ethics,Settlement,Criminal,International,International,35000000
"U.S. ex rel. Derrick v. Hoffman-La Roche et al. (Kickbacks, False Claims, Whistleblower Retaliation)",Humana,Date of Original Complaint,6/18/2014,Government Contract Fraud,Pending,Civil,Non-Governmental,Health and Human Services,0
"Off-Label Marketing, Overcharging and Kickbacks (Criminal)",Schering-Plough Corporation,Date of Announcement,8/29/2006,Government Contract Fraud,Pleaded Guilty,Criminal,Multiple Agencies,Health and Human Services,180000000
Hunters Point Naval Shipyard Cleanup - Homeowners Litigation,"Tetra Tech, Inc.",Date of Complaint,7/24/2018,Environment,Pending,Civil,Non-Governmental,None,0
"Water Pollution (Simi Valley, CA)",Boeing Company,Date of Announcement,9/11/2007,Environment,Fine,Administrative,State/Local,None,471190
Piper Cherokee Airplane Crash,"Textron, Inc.",Date of Verdict Announcement,4/7/2010,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,None,88700000
U.S. ex rel. Campbell v. Alliant Techsystems (Defective Ammunition),Alliant Techsystems Inc.,Date of Complaint,4/22/2010,Government Contract Fraud,Pending,Civil,Non-Governmental,Homeland Security,0
Environment Texas v. Exxon Mobil (Baytown Refinery Pollution),Exxon Mobil,Date of Complaint,12/13/2010,Environment,Judgment Against Defendant,Civil,Non-Governmental,None,19951278
Santa Fe Jail Suicide,Management & Training Corp.,Date of DOJ Report,3/6/2003,Human Rights,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Gary/Chicago Airport Hazardous Waste Cleanup,Honeywell International Inc.,Date of Complaint,3/1/2017,Environment,Pending,Civil,State/Local,None,0
Motor Fuel Temperature Sales Practices Litigation,"BP P.L.C., Exxon Mobil, Royal Dutch Shell PLC, Valero Energy Corp.",Date of Complaint,12/1/2008,Consumer Affairs,Settlement,Civil,Non-Governmental,None,4000000
Jersey City Chromium Contamination Lawsuit,Honeywell International Inc.,Date of Complaint,5/17/2010,Health,Settlement,Civil,Non-Governmental,None,10017000
Breach of Contract,Fluor Corporation,Date of Settlement,9/29/2005,Poor Contract Performance,Settlement,Civil,Non-Governmental,International,Undisclosed/Unknown
U.S. v. Fine and Wenger (Commercial Bribery),Humana,Date of Charging,1/18/2013,Ethics,Pleaded Guilty,Criminal,Justice,None,2000200
Audit of DOE Waste Treatment and Immobilization Plant Project,Bechtel Corporation,Date of Report,4/25/2012,Poor Contract Performance,Investigative Finding,N/A,Energy,Energy,0
Federal Election Law Violation,Lockheed Martin,Date of FEC Announcement,8/21/2006,Ethics,Fine,Administrative,FEC,None,27000
Dell EMC Sex and Gender Identity Discrimination,"Dell, Inc.",Date of Settlement Announcement,9/1/2017,Labor,Settlement,N/A,State/Local,None,110000
Patricia Sparks (Hanford P-Card Fraud),Fluor Corporation,Date of Settlement Agreement,1/24/2012,Government Contract Fraud,Settlement,N/A,Justice,Energy,5500
"Terminated Wi-Fi Contract (St. Louis Park, MN)",ARINC,Date of Filing,6/23/2008,Poor Contract Performance,Settlement,Civil,State/Local,State/Local,1050000
"U.S. v. Jones (Pipeline Safety Act Violations, False Statement)",Royal Dutch Shell PLC,Date of Plea Announcement,1/7/2015,Environment,Pleaded Guilty,Criminal,Justice,None,19338085
Maricopa County Air Quality Violations,Honeywell International Inc.,Date of Announcement,7/22/2008,Environment,Settlement,Administrative,State/Local,None,3025480
April 2010 Gulf of Mexico Oil Spill Shareholder Lawsuit,BP P.L.C.,Date of Filing,5/7/2010,Securities,Pending,Civil,Non-Governmental,None,0
Worker Safety and Health Violations at Savannah River Site,Parsons Corporation,Date of PNOV,10/7/2010,Labor,Fine,Administrative,Energy,Energy,70000
Discriminatory and Deceptive Credit Card Practices,General Electric,Date of Settlement Announcement,6/19/2014,Consumer Affairs,Settlement,Civil,Multiple Agencies,None,228500000
Hawaii Drug Prices Lawsuit,McKesson,Date of Filing,11/10/2010,Antitrust,Pending,Civil,State/Local,None,0
"McCormack, et al. v. IBM (Age Discrimination)",IBM Corporation,Date of Complaint,4/28/2014,Labor,Pending,Civil,Non-Governmental,None,0
Aircraft Quality Control Problems,Boeing Company,Date of Announcement,8/2/2000,Consumer Affairs,Fine,Administrative,Transportation,None,1241000
Intelligence Contract Labor Mischarging,SAIC,Date of ICIG Report,1/11/2013,Government Contract Fraud,Investigative Finding,N/A,ICIG,ODNI,2634
Unfair Working Conditions for LOGCAP Firefighters,KBR,Date of Complaint,12/2/2011,Labor,Pending,Civil,Non-Governmental,Defense - Army,0
False Claims Relating to Transplant Services,University of Chicago,Date of Settlement - approximate,7/1/2003,Ethics,Settlement,Civil,Multiple Agencies,None,115000
April 2010 Gulf of Mexico Oil Spill - Private Economic Loss and Medical Claims Settlement,BP P.L.C.,Date of Settlement Announcement,3/2/2012,Environment,Settlement,Civil,Non-Governmental,None,7800000000
